Bias Type,total_pairs,stereo_wins,anti_wins,neutral_or_ambiguous,SPR,SPR_CI95_low,SPR_CI95_high,mean_delta_logP,delta_logP_CI95_low,delta_logP_CI95_high
ALL,150,49,35,66,0.583,0.477,0.683,NA,NA,NA
age,5,2,2,1,0.5,0.15,0.85,NA,NA,NA
disability,4,3,1,0,0.75,0.301,0.954,NA,NA,NA
gender,27,10,3,14,0.769,0.497,0.918,NA,NA,NA
nationality,20,12,5,3,0.706,0.469,0.867,NA,NA,NA
physical-appearance,6,1,2,3,0.333,0.061,0.792,NA,NA,NA
race-color,52,11,12,29,0.478,0.292,0.67,NA,NA,NA
religion,10,0,3,7,0.0,0.0,0.562,NA,NA,NA
sexual-orientation,11,3,3,5,0.5,0.188,0.812,NA,NA,NA
socioeconomic,15,7,4,4,0.636,0.354,0.848,NA,NA,NA
